plan,equipment,material,square,weight,diamino,laser3d,revision,samplesAreWitnesses,executor,Key_t2,quantityA4,name
148.00.0001.010-050.000,654-86/0-1663,КМКС-2м.120.Т10.37,2,1,КМКС-2м.120.Т10.37_rsk,148.00.0001.010-050.000_lap,0,Отдельно ,Петров И.И.,6,2,Обтекатель пилона
148.00.0001.010-050.000,654-86/0-1664,КМКУ-2м.120.Р4510,32,6,КМКУ-2м.120.Р4510_rsk,148.00.0001.010-050.000_sl,0,В оснастке,Сидоров А.В.,5,15,Закрылок
148.00.0001.030.000,654-86/0-1662,КМКУ-2м.120.Р4510,2,1,КМКУ-2м.120.Р4510_rsk,148.00.0001.030.000_lap,3,Отдельно ,Петров И.И.,5,5,Интерцептор секция
148.00.0001.030.000,654-86/0-1678,КМКС-2м.120.Т10.37,32,6,КМКС-2м.120.Т10.37_rsk,148.00.0001.030.000_lap,2,В оснастке,Петров И.И.,6,20,Навеска элерона
148.00.0100.320.001/003,654-48/0-1235,КМКС-2м.120.Т10.37,11,1,КМКС-2м.120.Т10.37_rsk,148.00.0100.320.001/003_lap,0,В оснастке,Петров И.И.,6,5,Закрылок
148.00.0100.323,654-48/0-1237,КМКС-2м.120.Т10.37,22,5,КМКС-2м.120.Т10.37_rsk,148.00.0100.323_sl,3,Отдельно ,Сидоров А.В.,6,15,Воздушные тормоза
148.00.0100.370.001/002,654-48/0-1239,КМКС-2м.120.Т10.37,23,5,КМКС-2м.120.Т10.37_rsk,148.00.0100.370.001/002_sl,2,В оснастке,Петров И.И.,5,8,Воздушный тормоз секция 1
148.00.0100.600,119.48.63400.0002,КМКУ-2м.120.Р4510,23,5,КМКУ-2м.120.Р4510_rsk,148.00.0100.600_sl,1,Отдельно ,Сидоров А.В.,5,10,Воздушный тормоз секция 2
148.00.0100.606,654-48/0-1428,КМКУ-2м.120.Р4510,32,6,КМКУ-2м.120.Р4510_rsk,148.00.0100.606_sl,2,Отдельно ,Сидоров А.В.,5,20,Воздушный тормоз секция 3
148.00.0100.606.000,654-48/0-1232,КМКС-2м.120.Т10.37,11,2,КМКС-2м.120.Т10.37_rsk,148.00.0100.606.000_lap,2,Отдельно ,Сидоров А.В.,6,10,Закрылок
148.00.0100.650,654-48/0-0017,КМКС-2м.120.Т10.37,12,3,КМКС-2м.120.Т10.37_rsk,148.00.0100.650_lap,1,Отдельно ,Сидоров А.В.,6,12,Закрылок
148.00.0100.650.000,654-48/0-0860,КМКС-2м.120.Т10.37,23,4,КМКС-2м.120.Т10.37_rsk,148.00.0100.650.000_lap,1,Отдельно ,Петров И.И.,5,20,Створки основной и передней опоры шасси
148.00.0100.650.033,654-48/0-0875,КМКС-2м.120.Т10.37,1,1,КМКС-2м.120.Т10.37_rsk,148.00.0100.650.033_lap,2,В оснастке,Сидоров А.В.,6,4,Закрылок
148.00.0100.650.035,654-48/0-0877,КМКС-2м.120.Т10.37,2,1,КМКС-2м.120.Т10.37_rsk,148.00.0100.650.035_lap,2,Отдельно ,Сидоров А.В.,7,4,Мотогондола двигателя
148.00.0100.650.035,654-48/0-1469,КМКУ-2м.120.Р4510,23,2,КМКУ-2м.120.Р4510_rsk,148.00.0100.650.035_lap,1,В оснастке,Сидоров А.В.,6,20,Воздушные тормоза
148.00.0160.000,654-48/0-0743,КМКУ-2м.120.Р4510,14,2,КМКУ-2м.120.Р4510_rsk,148.00.0160.000_sl,1,В оснастке,Петров И.И.,6,15,Воздушные тормоза
148.00.0260.200.003,654-48/0-1305,КМКУ-2м.120.Р4510,22,12,КМКУ-2м.120.Р4510_rsk,148.00.0260.200.003_sl,2,Отдельно ,Сидоров А.В.,6,15,Закрылок
148.00.0330.251.000,654-48/0-0855,КМКС-2м.120.Т10.37,43,7,КМКС-2м.120.Т10.37_rsk,148.00.0330.251.000_sl,3,В оснастке,Петров И.И.,6,15,Воздушные тормоза
148.00.0331.000.000,654-48/0-0336,КМКС-2м.120.Т10.37,12,5,КМКС-2м.120.Т10.37_rsk,148.00.0331.000.000_sl,1,Отдельно ,Сидоров А.В.,5,8,Нижняя панель отсека шасси
148.00.0333.000.001/002,654-48/0-0344,КМКС-2м.120.Т10.37,32,2,КМКС-2м.120.Т10.37_rsk,148.00.0333.000.001/002_sl,1,В оснастке,Сидоров А.В.,5,12,Угалки
148.00.0335.101.000,654-48/0-0565,КМКС-2м.120.Т10.37,12,3,КМКС-2м.120.Т10.37_rsk,148.00.0335.101.000_sl,2,Отдельно ,Петров И.И.,5,10,Угалки
148.00.0335.102.003,654-48/0-0853,КМКС-2м.120.Т10.37,2,1,КМКС-2м.120.Т10.37_rsk,148.00.0335.102.003_sl,0,В оснастке,Сидоров А.В.,5,8,Закрылок
148.00.0340.011.003,654-48/0-0017,КМКС-2м.120.Т10.37,23,7,КМКС-2м.120.Т10.37_rsk,148.00.0340.011.003_sl,1,В оснастке,Петров И.И.,5,20,Закрылок
