plan,equipment,material,square,weight,diamino,laser3d,revision,samplesAreWitnesses,executor,Key_t2,quantityA4,name
1211-3216-1123-000-8131/8141,494.21.654.0165.00.000,КМКС-2м.120.Т10.37,2,1,КМКС-2м.120.Т10.37_rsk,1211-3216-1123-000-8131/8141/001_lap,0,Отдельно ,Петров И.И.,8,2,Обтекатель пилона
1211-3216-1112-000-8131/8141,494.21.654.0134.00.000,КМКУ-2м.120.Р4510,32,6,КМКУ-2м.120.Р4510_rsk,1211-3216-1112-000-8131/8141_sl,0,В оснастке,Сидоров А.В.,9,15,Закрылок
1211-3226-1116-000-8131/8141,494.21.654.0145.00.000,КМКУ-2м.120.Р4510,2,1,КМКУ-2м.120.Р4510_rsk,1211-3226-1116-000-8131/8141_lap,3,Отдельно ,Петров И.И.,9,5,Интерцептор секция
1211-4216-4116-000-8131/8141,494.21.654.0132.00.000,КМКС-2м.120.Т10.37,32,6,КМКС-2м.120.Т10.37_rsk,1211-4216-4116-000-8131/8141_lap,2,В оснастке,Петров И.И.,8,20,Навеска элерона
1211-5416-3452-000-8131/8141,494.21.654.0135.00.000,КМКС-2м.120.Т10.37,11,1,КМКС-2м.120.Т10.37_rsk,148.00.0100.320.001/003_lap,0,В оснастке,Петров И.И.,8,5,Закрылок
1211-3445-3456-000-8131/8141,494.21.654.0145.00.000,КМКС-2м.120.Т10.37,22,5,КМКС-2м.120.Т10.37_rsk,1211-3445-3456-000-8131/8141_sl,3,Отдельно ,Сидоров А.В.,8,15,Воздушные тормоза
1211-3216-4532-000-8131/8141,494.21.654.0135.00.000,КМКС-2м.120.Т10.37,23,5,КМКС-2м.120.Т10.37_rsk,1211-3216-4532-000-8131/8141_sl,2,В оснастке,Петров И.И.,9,8,Воздушный тормоз секция 1
1211-3216-3453-000-8131/8141,494.21.654.0174.00.000,КМКУ-2м.120.Р4510,23,5,КМКУ-2м.120.Р4510_rsk,1211-3216-3453-000-8131/8141_sl,1,Отдельно ,Сидоров А.В.,9,10,Воздушный тормоз секция 2
1211-3216-4523-000-8131/8141,494.21.654.0183.00.000,КМКУ-2м.120.Р4510,32,6,КМКУ-2м.120.Р4510_rsk,1211-3216-4523-000-8131/8141_sl,2,Отдельно ,Сидоров А.В.,9,20,Воздушный тормоз секция 3
1211-3216-4353-000-8131/8141,494.21.654.0137.00.000,КМКС-2м.120.Т10.37,11,2,КМКС-2м.120.Т10.37_rsk,1211-3216-4353-000-8131/8141_lap,2,Отдельно ,Сидоров А.В.,8,10,Закрылок
1211-3246-1136-000-8131/8141,494.21.654.0157.00.000,КМКС-2м.120.Т10.37,12,3,КМКС-2м.120.Т10.37_rsk,1211-3246-1136-000-8131/8141_lap,1,Отдельно ,Сидоров А.В.,8,12,Закрылок
1211-3234-1234-000-8131/8141,494.21.654.0149.00.000,КМКС-2м.120.Т10.37,23,4,КМКС-2м.120.Т10.37_rsk,1211-3234-1234-000-8131/8141_lap,1,Отдельно ,Петров И.И.,9,20,Створки основной и передней опоры шасси
