plan,equipment,material,square,weight,diamino,laser3d,revision,samplesAreWitnesses,executor,Key_t2,quantityA4,name
T7.00.0001.010-050.000,494.T7.654.0165.00.000,КМКС-2м.120.Т10.37,2,1,КМКС-2м.120.Т10.37_rsk,T7.00.0001.010-050.000_lap,0,Отдельно ,Петров И.И.,15,2,Обтекатель пилона
T7.00.0001.010-050.000,494.T7.654.0134.00.000,КМКУ-2м.120.Р4510,32,6,КМКУ-2м.120.Р4510_rsk,T7.00.0001.010-050.000_sl,0,В оснастке,Сидоров А.В.,14,15,Закрылок
T7.00.0001.030.000,494.T7.654.0145.00.000,КМКУ-2м.120.Р4510,2,1,КМКУ-2м.120.Р4510_rsk,T7.00.0001.030.000_lap,3,Отдельно ,Петров И.И.,14,5,Интерцептор секция
T7.00.0001.030.000,494.T7.654.0132.00.000,КМКС-2м.120.Т10.37,32,6,КМКС-2м.120.Т10.37_rsk,T7.00.0001.030.000_lap,2,В оснастке,Петров И.И.,15,20,Навеска элерона
T7.00.0100.320.001/003,494.T7.654.0135.00.000,КМКС-2м.120.Т10.37,11,1,КМКС-2м.120.Т10.37_rsk,T7.00.0100.320.001/003_lap,0,В оснастке,Петров И.И.,15,5,Закрылок
T7.00.0100.323,494.T7.654.0145.00.000,КМКС-2м.120.Т10.37,22,5,КМКС-2м.120.Т10.37_rsk,T7.00.0100.323_sl,3,Отдельно ,Сидоров А.В.,15,15,Воздушные тормоза
T7.00.0100.370.001/002,494.T7.654.0135.00.000,КМКС-2м.120.Т10.37,23,5,КМКС-2м.120.Т10.37_rsk,T7.00.0100.370.001/002_sl,2,В оснастке,Петров И.И.,14,8,Воздушный тормоз секция 1
T7.00.0100.600,494.T7.654.0174.00.000,КМКУ-2м.120.Р4510,23,5,КМКУ-2м.120.Р4510_rsk,T7.00.0100.600_sl,1,Отдельно ,Сидоров А.В.,14,10,Воздушный тормоз секция 2
T7.00.0100.606,494.T7.654.0183.00.000,КМКУ-2м.120.Р4510,32,6,КМКУ-2м.120.Р4510_rsk,T7.00.0100.606_sl,2,Отдельно ,Сидоров А.В.,14,20,Воздушный тормоз секция 3
T7.00.0100.606.000,494.T7.654.0137.00.000,КМКС-2м.120.Т10.37,11,2,КМКС-2м.120.Т10.37_rsk,T7.00.0100.606.000_lap,2,В оснастке,Сидоров А.В.,15,10,Закрылок
T7.00.0100.650,494.T7.654.0157.00.000,КМКС-2м.120.Т10.37,12,3,КМКС-2м.120.Т10.37_rsk,T7.00.0100.650_lap,1,Отдельно ,Сидоров А.В.,15,12,Закрылок
T7.00.0100.650.000,494.T7.654.0149.00.000,КМКС-2м.120.Т10.37,23,4,КМКС-2м.120.Т10.37_rsk,T7.00.0100.650.000_lap,1,Отдельно ,Петров И.И.,14,20,Створки основной и передней опоры шасси
